r_R,alpha,inflow,a,a_prime,Ct,Cx,Cy,Cq,Cp
0.41874999999999996,-4.6974717973808,64.7599717973808,-0.2708105134609613,-0.000696345181310568,-0.0057241420859713765,-0.006205115180436125,0.012710676579913727,0.0034370202146281085,0.02159543491303056
0.42625,-4.675347049911025,64.36284704991103,-0.27075440616619073,-0.0005617923609910838,-0.004495223524434008,-0.005003717351911244,0.015046251497013956,0.004033195473957669,0.025341314542954033
0.43374999999999997,-4.6561496094523065,63.96864960945231,-0.2707061463190883,-0.0004527984238910094,-0.003434458595006889,-0.0039205458627995324,0.017063132730165916,0.004538455100237197,0.028515954403104615
0.44125000000000003,-4.6398642418765235,63.57736424187652,-0.2706653248193295,-0.00036630684930953996,-0.00253277683526405,-0.0029615112740258385,0.018765832716592126,0.004957173669321203,0.0311468407642165
0.44875,-4.626477776852148,63.18897777685215,-0.2706315926565598,-0.00029967875427645255,-0.001782462899011797,-0.0021324526529068995,0.02015867799846551,0.0052930457906952035,0.03325718754232486
0.45625,-4.615978658969773,62.80347865896977,-0.27060465120186344,-0.00025062686976063894,-0.0011769365389318043,-0.0014391233648308986,0.021245855216036513,0.00554919718008166,0.03486663418853148
0.46375,-4.6083565831653885,62.42085658316539,-0.27058424436406725,-0.00021716153920942126,-0.0007105753397898474,-0.0008871791874737033,0.022031447631641304,0.005728274001725451,0.035991807043140166
0.47125,-4.603602197204509,62.04110219720451,-0.2705701522045116,-0.00019754625753464167,-0.0003785707983305944,-0.00048216832968435777,0.022519464140711206,0.005832515277913275,0.03664677429808515
0.47875,-4.6017068580042775,61.66420685800428,-0.27056218570407176,-0.00019026084345072282,-0.0001768106817319138,-0.0002295230351839813,0.022713862272856385,0.005863811966136126,0.03684341718969035
0.48624999999999996,-4.60266243154291,61.29016243154291,-0.2705601824493061,-0.00019397076552777823,-0.00010178229659112874,-0.000134552523067483,0.022618566350328162,0.00582375543406011,0.03659173457589376
0.49375,-4.606461128333386,60.918961128333386,-0.27056400305857825,-0.00020750146374522648,-0.00015049255265936527,-0.00020243707042320175,0.02223748171926596,0.005713677422240562,0.03590009402938563
0.50125,-4.613095368125961,60.55059536812596,-0.27057352820929215,-0.0002298167524991629,-0.0003204016382094362,-0.00043822308240625517,0.0215745057780627,0.005534683108201914,0.03477543958534931
0.50875,-4.6225576687944,60.1850576687944,-0.27058865615776506,-0.0002600005782535845,-0.0006093678258213269,-0.0008468190253725586,0.02063353638088618,0.00528767852741625,0.033223464032550776
0.51625,-4.634840555358977,59.82234055535898,-0.27060930066641375,-0.0002972415498745268,-0.0010156014609703395,-0.0014329921219361826,0.019418478081059343,0.0049733933347207646,0.031248751927542395
0.5237499999999999,-4.649936485876168,59.46243648587617,-0.27063538927072,-0.00034081977265306053,-0.0015376265952538764,-0.002201365724728499,0.01793324659062546,0.004592399681159927,0.02885489820136027
0.53125,-4.667837791536691,59.10533779153669,-0.27066686183225414,-0.00039009560580589717,-0.0021742490432967256,-0.0031564172996904312,0.016181771762705507,0.004145127819745316,0.02604460621340512
0.53875,-4.688536628797998,58.751036628798,-0.270703669334838,-0.00044450003351093905,-0.0029245298903355916,-0.0043024769607937,0.014167999347920814,0.0036318789274101945,0.02281976831415889
0.54625,-4.712024941764554,58.399524941764554,-0.27074577288947593,-0.000503526395527051,-0.003787763673161531,-0.005643726506928937,0.01189589173182129,0.0030528355308075327,0.019181531352405683
0.55375,-4.738294433341501,58.0507944333415,-0.2707931429204858,-0.000566723268347886,-0.0047634606130376915,-0.007184198918865481,0.009369427824431412,0.002408069844136456,0.015130349063340418
0.56125,-4.767336543940232,57.70483654394023,-0.2708457585107539,-0.0006336883240580077,-0.005851332404749024,-0.008927778280024366,0.006592602243927485,0.0016975502631076723,0.010666022871356968
0.56875,-4.799142436721823,57.36164243672182,-0.27090360688850157,-0.0007040630234497426,-0.007051281168216018,-0.010878200089684925,0.0035694239125492896,0.0009211462068157124,0.005787732312428693
