r_R,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6
0.7637499999999999,1.0283305228042223,0.9447914640115662,0.9744411066242302,0.9745175485748964,0.9745175390314689,0.9745175390419735,0.9745175390314689
0.77125,0.9770238142903326,0.8968010073730052,0.9727739140307444,0.9727716251398257,0.9727716245665583,0.9727716245771298,0.9727716245665583
0.77875,1.0115500836630775,0.9276530122365145,0.9705991504718479,0.9705515822615425,0.9705517454834188,0.9705517454941853,0.9705517454834188
0.78625,1.0486256346256833,0.9607062855984787,0.9677293411870885,0.9677273669264317,0.9677273676400211,0.9677273676508454,0.9677273676400211
0.79375,0.9962091747677615,0.9117632608200305,0.9643353748418745,0.9644056697033302,0.9644057821027224,0.9644057821136053,0.9644057821027224
0.80125,1.034450499152347,0.9456648230626425,0.9605208691430756,0.9605751172652874,0.9605751173170818,0.9605751173061441,0.9605751173170818
0.80875,0.9821138353102521,0.8968532022390012,0.956217641828339,0.9562026104210433,0.9562026652762347,0.956202665287345,0.9562026652762347
0.8162499999999999,1.0215146072449517,0.9317429783881185,0.9511608001388465,0.9511773100896738,0.9511772979053219,0.9511772979164814,0.9511772979053219
0.82375,0.9694828169996396,0.8833082410157337,0.9455521471142327,0.9455918435789924,0.945591890231078,0.945591890231078,
0.83125,1.0104571575767496,0.9194344428239754,0.939406137358693,0.9394272363199845,0.9394272859088856,0.9394272858976395,0.9394272859088856
0.83875,0.9586715314276673,0.8712287365199882,0.9324978805178833,0.9325692645927752,0.9325693207693208,0.932569320757936,0.9325693207693208
0.84625,1.0013784135958403,0.9087233885560282,0.9250054430993154,0.9250485716778769,0.9250485622755205,0.9250485622869383,0.9250485622755205
0.85375,0.9497035129092465,0.8607166503883343,0.9168620293615729,0.916867009126901,0.9168670169773234,0.9168670169658757,0.9168670169773234
0.86125,0.994729001950672,0.9000629931110574,0.9078897460612603,0.9078959756791221,0.9078959737709144,0.9078959737824914,0.9078959737709144
0.8687499999999999,0.9433812006794935,0.8523501743230303,0.8980638560322409,0.8981450746152662,0.8981452484333067,0.8981452484449052,0.8981452484333067
0.87625,0.8940017078583099,0.8063167434063578,0.887609998260217,0.887605855063416,0.887605853585709,0.887605853585709,
0.88375,0.9402199855477578,0.846403966782469,0.8760233984245056,0.8760740207452556,0.8760739886811901,0.876073988692923,0.8760739886811901
0.89125,0.8911128821849152,0.8008002776598354,0.8635733122597595,0.8636156316062945,0.8636156867637484,0.8636156867754893,0.8636156867637484
0.8987499999999999,0.9414398977752739,0.8440968171156995,0.8500867372691543,0.8500979075989906,0.8500979058063349,0.8500979058181446,0.8500979058063349
0.90625,0.8930963844470294,0.7991710964184522,0.8353174777146417,0.8354115858841015,0.8354115993986784,0.8354115993868713,0.8354115993986784
0.91375,0.8469915213627304,0.756149270601958,0.8193867924717108,0.8194411981384743,0.8194411799493853,0.819441179961252,0.8194411799493853
0.9212499999999999,0.803101974719221,0.7150525857205232,0.8019606992093188,0.8019629400089467,0.8019629401323835,0.8019629401205317,0.8019629401323835
0.92875,0.8579634220694735,0.7614756778943963,0.7827638025559095,0.7827851735128003,0.7827851574531235,0.7827851574650359,0.7827851574531235
0.93625,0.8164668422127827,0.7222079259533284,0.7614606114177848,0.7615438887602276,0.7615439334508174,0.7615439334508174,
0.94375,0.7779726428626882,0.6855082389173157,0.7377647351150994,0.7378649828537852,0.737865157139709,0.737865157127813,0.737865157139709
0.9512499999999999,0.7430118107038148,0.6516494898369491,0.7111360537542625,0.7111597071834272,0.7111596605933861,0.7111596606052999,0.7111596605933861
0.95875,0.7125661710409306,0.621448538904691,0.6803741950663821,0.6804412318633506,0.6804413396977678,0.6804413396977678,
0.96625,0.6885375998994732,0.596257795614011,0.6442715223534564,0.6443681753994794,0.6443683923452812,0.6443683923334795,0.6443683923452812
0.9737499999999999,0.6751045407012901,0.5789709988211436,0.600407502715323,0.6004893897740554,0.6004893877918843,0.6004893878036115,0.6004893877918843
0.98125,0.5773552757657396,0.4880882069290019,0.5439297399060369,0.5440015449269022,0.5440016771776668,0.5440016771660474,0.5440016771776668
0.98875,0.5120961352816701,0.4218681138103634,0.4633555125652301,0.46345929971411215,0.46345934486534873,0.46345934485392115,0.46345934486534873
0.99625,0.34581803627029506,0.2629794007360665,0.3141168650216054,0.31419347783525686,0.314193476426731,0.31419347643767775,0.314193476426731
