r_R,alpha,inflow,a,a_prime,Ct,Cx,Cy,Cq,Cp
0.33625,-3.0629523238489043,1.1737418165058058,0.022951863392916997,0.12986318387294285,0.03957894627060505,0.06666124790667273,0.18593471484050156,0.11039547442709517,0.6936352228994441
0.34375,-2.9520172740106005,1.1652606499354785,0.02393360834230846,0.12769670483703863,0.04290430022548162,0.07330049104612646,0.19709597495513134,0.11536436880657207,0.7248557070575006
0.35125,-2.8427552789016772,1.1568086836786886,0.024880061807361426,0.12553843725285818,0.04621355758452393,0.08004498822337522,0.20798518212796643,0.12007916303528031,0.7544796328816953
0.35875,-2.735262094322067,1.1483875889894488,0.025795588581702805,0.12338697665955235,0.04950715175463092,0.08688784652930188,0.21859059800081318,0.12454904039704118,0.7825647006460059
0.36624999999999996,-2.6296412950585193,1.139999173588817,0.026682245221018735,0.12124311234824986,0.0527822612543898,0.09381676850523296,0.2289019338811325,0.12878253928666053,0.8091645586672233
0.37375,-2.526001028097781,1.131645324997795,0.02754158860386656,0.11910815777340814,0.056035778973779746,0.10081884114163603,0.2389087614544833,0.13278707035498644,0.8343257694378727
0.38125,-2.424291117919168,1.1233251674886473,0.028372191101777893,0.11697965591475556,0.0592588300849002,0.10787081506820739,0.24859244709047798,0.1365642558017142,0.8580585255392452
0.38875,-2.3247348879668976,1.1150426001397002,0.029176884568927395,0.11486240174531909,0.062451734186014365,0.1149653905907035,0.2579485874736904,0.14012335722504846,0.880421019309101
0.39625,-2.2274939536689615,1.106800427615255,0.02995728737109015,0.11275949855260904,0.06561290409569319,0.1220920493197632,0.2669709050773358,0.14347156635981934,0.9014584377500579
0.40375,-2.1326677566070416,1.0986004126724587,0.030713988445079277,0.11067264503603409,0.06873890301710475,0.1292369725208152,0.27565127630209113,0.14661414061388964,0.9212038141299532
0.41125,-2.040353219777934,1.0904442375524859,0.031447435457109166,0.10860337145504008,0.071826229721426,0.13638620694406864,0.28398216433324147,0.14955595415521433,0.9396877737492665
0.41874999999999996,-1.9506409318307547,1.0823334801074542,0.032157404812312766,0.10655358510642175,0.07486999890365055,0.14352330170781233,0.29195837987652096,0.1523022692702313,0.9569433805288263
0.42625,-1.863617072621949,1.0742696440626782,0.03284439308021108,0.10452443775006212,0.07786717970447606,0.1506351184395421,0.2995738235997598,0.15485744508724214,0.9729980236795294
0.43374999999999997,-1.7793627276593895,1.0662541449457879,0.0335091483900251,0.10251670263063041,0.08081558640756864,0.15771014059716118,0.30682234608722353,0.1572253276002646,0.9878758682944797
0.44125000000000003,-1.697952667739429,1.058288287819213,0.03415188084969404,0.10053142095983339,0.08371192090118437,0.1647349384056666,0.31369982384372513,0.15941011466371607,1.001603290270874
0.44875,-1.619456098212524,1.0503732805263464,0.034772771278324344,0.09856950153557209,0.08655295706516859,0.17169630993385765,0.320202947796349,0.16141588875896548,1.0142059405956665
